자치구명,동이름,건물명,건물용도,층정보,거래가격(만원),평수,건물면적(㎡),년도
구로구,오류동,썬앤빌,아파트,15.0,7600,4.0,14.06,2022
강서구,화곡동,한양아이클래스,아파트,8.0,7950,4.0,13.79,2022
구로구,오류동,썬앤빌,아파트,9.0,8000,4.0,14.06,2022
광진구,화양동,(20-3),아파트,4.0,8000,4.0,12.42,2022
강동구,길동,현대웰하임(201동),아파트,4.0,8000,4.0,14.47,2022
구로구,오류동,썬앤빌,아파트,9.0,8000,4.0,14.06,2022
노원구,공릉동,진명비베레,아파트,2.0,8000,4.0,13.06,2022
강서구,화곡동,한양아이클래스,아파트,8.0,8000,4.0,13.79,2022
강서구,화곡동,한양아이클래스,아파트,10.0,8100,4.0,13.79,2022
구로구,오류동,썬앤빌,아파트,11.0,8200,4.0,14.06,2022
노원구,공릉동,진명비베레,아파트,4.0,8200,4.0,12.92,2022
구로구,오류동,썬앤빌,아파트,9.0,8300,4.0,14.06,2022
구로구,오류동,썬앤빌,아파트,11.0,8350,4.0,14.06,2022
노원구,공릉동,진명비베레,아파트,3.0,8400,4.0,13.75,2022
강동구,길동,현대웰하임(201동),아파트,3.0,8500,4.0,14.47,2022
강서구,화곡동,한양아이클래스,아파트,7.0,8500,4.0,13.79,2022
강서구,화곡동,한양아이클래스,아파트,9.0,8500,4.0,13.79,2022
강서구,화곡동,한양아이클래스,아파트,6.0,8500,4.0,13.79,2022
강서구,화곡동,한양아이클래스,아파트,10.0,8500,4.0,13.75,2022
구로구,오류동,오류동역솔리스타,아파트,11.0,8500,5.0,18.01,2022
중랑구,면목동,신영,아파트,4.0,8500,4.0,14.43,2022
강서구,화곡동,한양아이클래스,아파트,12.0,8500,4.0,13.79,2022
강서구,화곡동,한양아이클래스,아파트,11.0,8500,4.0,13.79,2022
구로구,오류동,썬앤빌,아파트,14.0,8500,4.0,14.06,2022
강서구,화곡동,한양아이클래스,아파트,8.0,8500,4.0,13.79,2022
강동구,길동,현대웰하임(201동),아파트,2.0,8550,4.0,14.47,2022
중랑구,면목동,신영,아파트,4.0,8800,4.0,14.43,2022
구로구,구로동,코원,아파트,2.0,8800,4.0,12.49,2022
강서구,방화동,경동팰리스힐,아파트,2.0,8900,4.0,12.22,2022
강서구,방화동,경동팰리스힐,아파트,5.0,8900,4.0,12.22,2022
강서구,방화동,경동팰리스힐,아파트,7.0,8900,4.0,12.66,2022
중랑구,면목동,신영,아파트,8.0,8900,4.0,14.43,2022
도봉구,창동,월가타워,아파트,11.0,8950,5.0,15.0,2022
구로구,오류동,포스시티,아파트,16.0,9000,4.0,14.29,2022
도봉구,방학동,퍼스티안,아파트,10.0,9000,4.0,13.68,2022
구로구,오류동,썬앤빌,아파트,7.0,9000,4.0,14.06,2022
구로구,오류동,오류동역솔리스타,아파트,6.0,9000,6.0,19.09,2022
강동구,길동,강동와이시티,아파트,13.0,9000,4.0,13.97,2022
강북구,수유동,수유역하이씨티,아파트,5.0,9000,4.0,12.33,2022
노원구,공릉동,진명비베레,아파트,5.0,9000,4.0,12.06,2022
광진구,화양동,(20-3),아파트,6.0,9000,4.0,12.42,2022
강동구,길동,강동와이시티,아파트,13.0,9000,4.0,13.97,2022
중랑구,면목동,신영,아파트,7.0,9000,4.0,14.43,2022
도봉구,방학동,퍼스티안,아파트,11.0,9100,4.0,13.68,2022
도봉구,방학동,퍼스티안,아파트,5.0,9100,4.0,13.68,2022
강서구,방화동,AirPalace(619-7),아파트,6.0,9100,4.0,14.1,2022
중랑구,묵동,헤르만스테이트,아파트,8.0,9100,4.0,13.77,2022
도봉구,방학동,퍼스티안,아파트,9.0,9200,4.0,13.68,2022
중랑구,면목동,신영,아파트,5.0,9200,4.0,14.43,2022
강서구,방화동,AirPalace(619-7),아파트,4.0,9250,4.0,14.1,2022
도봉구,방학동,퍼스티안,아파트,5.0,9250,4.0,13.68,2022
중랑구,면목동,신영,아파트,4.0,9300,5.0,16.93,2022
노원구,공릉동,미라쉘,아파트,14.0,9300,5.0,16.69,2022
강서구,방화동,AirPalace(619-7),아파트,9.0,9300,4.0,14.1,2022
도봉구,방학동,퍼스티안,아파트,8.0,9400,4.0,13.68,2022
강동구,길동,강동와이시티,아파트,13.0,9400,4.0,13.97,2022
강서구,방화동,경동팰리스힐,아파트,5.0,9400,4.0,12.22,2022
강서구,방화동,AirPalace(619-7),아파트,5.0,9400,4.0,14.5,2022
중랑구,망우동,더하이어,아파트,9.0,9450,4.0,12.02,2022
강동구,길동,현대웰하임(201동),아파트,3.0,9500,4.0,14.47,2022
구로구,오류동,포스시티,아파트,19.0,9500,4.0,14.29,2022
구로구,오류동,포스시티,아파트,13.0,9500,5.0,17.75,2022
구로구,구로동,비즈트위트오렌지,아파트,2.0,9500,5.0,15.6,2022
강서구,화곡동,강서동도센트리움,아파트,6.0,9500,4.0,14.68,2022
관악구,신림동,코스모그린,아파트,8.0,9500,4.0,12.21,2022
종로구,숭인동,종로유케이201,아파트,9.0,9500,4.0,12.01,2022
구로구,오류동,다청림(356),아파트,4.0,9500,5.0,15.57,2022
종로구,숭인동,종로유케이201,아파트,10.0,9500,4.0,12.01,2022
구로구,오류동,포스시티,아파트,13.0,9500,4.0,14.29,2022
도봉구,창동,월가타워,아파트,12.0,9500,4.0,13.02,2022
강서구,화곡동,강서동도센트리움,아파트,6.0,9600,4.0,14.68,2022
중구,신당동,수산타운(2차),아파트,-1.0,9700,10.0,32.86,2022
금천구,시흥동,와이즈플레이스,아파트,18.0,9700,4.0,14.22,2022
노원구,공릉동,진명비베레,아파트,6.0,9800,4.0,12.09,2022
강서구,화곡동,강서동도센트리움,아파트,3.0,9800,4.0,14.68,2022
중랑구,망우동,EGSoulLeader,아파트,5.0,9800,4.0,13.55,2022
도봉구,방학동,퍼스티안,아파트,13.0,9850,4.0,13.68,2022
금천구,가산동,비즈트위트바이올렛5차,아파트,15.0,9900,4.0,12.19,2022
관악구,신림동,신림큐브,아파트,10.0,9900,4.0,12.96,2022
강서구,화곡동,강서동도센트리움,아파트,6.0,9999,4.0,14.68,2022
강서구,화곡동,강서동도센트리움,아파트,3.0,9999,4.0,14.68,2022
중랑구,상봉동,포시티,아파트,14.0,10000,4.0,14.86,2022
구로구,구로동,비즈트위트레인보우,아파트,2.0,10000,5.0,15.58,2022
금천구,가산동,비즈트위트바이올렛5차,아파트,9.0,10000,4.0,12.19,2022
동대문구,장안동,장안뉴시티,아파트,7.0,10000,5.0,17.63,2022
동대문구,장안동,장안뉴시티,아파트,11.0,10000,5.0,17.63,2022
종로구,숭인동,종로유케이201,아파트,7.0,10000,4.0,12.08,2022
강동구,길동,현대웰하임(201동),아파트,1.0,10000,4.0,14.47,2022
구로구,구로동,비즈트위트블루,아파트,4.0,10000,5.0,16.04,2022
강서구,화곡동,강서동도센트리움,아파트,2.0,10000,4.0,14.68,2022
중랑구,상봉동,포시티,아파트,17.0,10000,4.0,14.86,2022
구로구,구로동,비즈트위트그린,아파트,15.0,10000,5.0,15.11,2022
중랑구,면목동,신영,아파트,7.0,10000,4.0,14.43,2022
중랑구,상봉동,포시티,아파트,15.0,10000,4.0,14.86,2022
중랑구,망우동,더하이어,아파트,11.0,10000,4.0,12.02,2022
